채널,상태,예측순번,총수,곡,근거
숏컷,확정,7,62,할로윈 파티 ~Multiverse~ - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,8,62,스타드림 -Eurobeat Remix- - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,9,62,프ㄹi마 마테ㄹi아 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,10,62,결투 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,11,62,머독 vs 오타다 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,12,62,솔브 마이 허트 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,13,62,패러독스 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,14,62,니알라토텝 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,15,62,웨딩 크래셔 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,16,62,캉-캉 ~Orpheus in The Party Mix~ - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,17,62,XX 오프닝 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,18,62,아이 원트 유 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,19,62,포세이돈 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,20,62,스위트로닉 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,21,62,사라반드 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,22,62,프라임2 오프닝 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,23,62,슈브 니구라스 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,24,62,가장신자 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,25,62,사월 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,26,62,히페리온 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,27,62,슈퍼 판타지 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,28,62,요그 소토스 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,29,62,실루엣 이펙트 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,30,62,무브 댓 바디! - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,31,62,프라임 오프닝 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,32,62,셀피쉬니스 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,33,62,락 더 하우스 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,34,62,스타더스트 오버드라이브 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,35,62,이그니스 패터스(DM Ashura 믹스) - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,36,62,에프 에프 에프 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,37,62,유니크 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,38,62,유 갓 미 락킹 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,39,62,트롯프리스 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,40,62,클리너 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,41,62,테이크 아웃 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,42,62,오버블로우 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,43,62,파이널 오디션 2 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,44,62,파이널 오디션 3 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,45,62,파이널 오디션 에피소드 2-X - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,46,62,러브 이즈 어 데인저 존 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,47,62,러브 이즈 어 데인저 존 pt.2 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,48,62,엑스트라바간자 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,49,62,치킨 윙 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,50,62,윈터 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,51,62,무혼 2 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,52,62,월광 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,53,62,위치 닥터 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,54,62,익시드2 오프닝 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,55,62,NX 오프닝 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,56,62,케이.오.에이 : 엘리스 인 원더월드 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,57,62,비메라 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,58,62,펌트리스 8비트 ver. - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,59,62,데스티네이션 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,60,62,팝 더 트랙 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,61,62,파사칼리아 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
숏컷,확정,62,62,엑스 레이브 - SHORT CUT -,영상 kV0pc7254Dc 18:43~19:05 · 총수 62/62 · 순서 6/6 · 절대위치 4=그로스
풀송,예측,1,17,굿 나이트 - FULL SONG -,미관측 — 숏컷과 같은 규칙으로 가정
풀송,예측,2,17,풀 문 - FULL SONG -,미관측 — 숏컷과 같은 규칙으로 가정
풀송,예측,3,17,파파시토 (feat. KuTiNA) - FULL SONG -,미관측 — 숏컷과 같은 규칙으로 가정
풀송,예측,4,17,알레그로 콘 뿌오코 - FULL SONG -,미관측 — 숏컷과 같은 규칙으로 가정
풀송,예측,5,17,8 6 - FULL SONG -,미관측 — 숏컷과 같은 규칙으로 가정
풀송,예측,6,17,바로크 바이러스 - FULL SONG -,미관측 — 숏컷과 같은 규칙으로 가정
풀송,예측,7,17,체이스 미 - FULL SONG -,미관측 — 숏컷과 같은 규칙으로 가정
풀송,예측,8,17,가고일 - FULL SONG -,미관측 — 숏컷과 같은 규칙으로 가정
풀송,예측,9,17,허쉬 - FULL SONG -,미관측 — 숏컷과 같은 규칙으로 가정
풀송,예측,10,17,무브 댓 바디! - FULL SONG -,미관측 — 숏컷과 같은 규칙으로 가정
풀송,예측,11,17,배드 애플!! feat. Nomico - FULL SONG -,미관측 — 숏컷과 같은 규칙으로 가정
풀송,예측,12,17,인터퍼런스 - FULL SONG -,미관측 — 숏컷과 같은 규칙으로 가정
풀송,예측,13,17,젓가락 변주곡 - FULL SONG -,미관측 — 숏컷과 같은 규칙으로 가정
풀송,예측,14,17,러브 이즈 어 데인저 존 2 - FULL SONG -,미관측 — 숏컷과 같은 규칙으로 가정
풀송,예측,15,17,비트 오브 더 워 2 - FULL SONG -,미관측 — 숏컷과 같은 규칙으로 가정
풀송,예측,16,17,디그니티 - FULL SONG -,미관측 — 숏컷과 같은 규칙으로 가정
풀송,예측,17,17,캐논 디 - FULL SONG -,미관측 — 숏컷과 같은 규칙으로 가정
